checked_at,run_date,model,metric,valid_time,legacy_value,openmeteo_value,diff,flag
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 09:00:00,8.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 12:00:00,9.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 15:00:00,11.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 18:00:00,11.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-03 21:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 00:00:00,11.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 03:00:00,11.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 06:00:00,10.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 09:00:00,11.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 12:00:00,11.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 15:00:00,13.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 18:00:00,14.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-04 21:00:00,14.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 00:00:00,13.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 03:00:00,13.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 06:00:00,12.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 09:00:00,11.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 12:00:00,12.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 15:00:00,14.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 18:00:00,14.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-05 21:00:00,13.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 00:00:00,12.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 03:00:00,12.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 06:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 09:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 12:00:00,11.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 15:00:00,14.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 18:00:00,15.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-06 21:00:00,14.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 00:00:00,14.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 03:00:00,13.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 06:00:00,13.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 09:00:00,13.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 12:00:00,14.7,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 15:00:00,16.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 18:00:00,16.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-07 21:00:00,16.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 00:00:00,15.6,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 03:00:00,15.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 06:00:00,14.5,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 09:00:00,14.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 12:00:00,15.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-08 18:00:00,17.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 00:00:00,16.8,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 06:00:00,16.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 12:00:00,16.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-09 18:00:00,18.4,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 00:00:00,18.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 06:00:00,17.1,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 12:00:00,18.0,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-10 18:00:00,20.3,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 00:00:00,19.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 06:00:00,18.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 12:00:00,18.9,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-11 18:00:00,21.2,,,False
2026-06-30 21:29:14,2026-06-30 12:00:00,GEFS,median,2026-07-12 00:00:00,19.7,,,False
